Level	Question ID	Prompt	Correct Answer	Options	Meaning	POS
HSK_Level_6	CLOZE_副	Fill in the blank: 你如果能把全____精力放进去，要学会英文并不是难事。	副	股|集|串|副	secondary; auxiliary; deputy; assistant; vice-; abbr. for 副词 adverb; classifier for pairs, sets of things & facial expressions	b,q
HSK_Level_6	CLOZE_出路	Fill in the blank: 那是唯一的____。	出路	阴影|桥梁|出路|焦点	a way out (lit. and fig.); opportunity for advancement; a way forward; outlet (for one's products)	n
HSK_Level_6	CLOZE_会见	Fill in the blank: 如果他打电话过来，告诉他我晚点____他的。	会见	补习|会见|出事|出台	to meet with (sb who is paying a visit)	v,vn
HSK_Level_6	CLOZE_首次	Fill in the blank: 在一九五八年，巴西____夺得了世界杯的冠军。	首次	多半|大批|首次|一时	first; first time; for the first time	m
HSK_Level_6	CLOZE_集	Fill in the blank: 这套全____的第五卷找不到了。	集	集|拐|股|串	to gather; to collect; collected works; classifier for sections of a TV series etc: episode	q,g
HSK_Level_6	CLOZE_剑	Fill in the blank: 警方很能明白有人偷了我的信用卡，并提了好多钱。让他们相信”有人偷了我的魔____“要难得多。	剑	股|肝|剑|串	double-edged sword; classifier for blows of a sword	n
HSK_Level_6	CLOZE_讲课	Fill in the blank: 假如你在老师____的时候再集中一点去听讲的话，你应该就能弄明白了。	讲课	挨打|补课|讲课|挨着	teach; lecture	v,vn
HSK_Level_7	FIB_固定短语 - 其他	Complete the pattern for '固定短语 - 其他': 短语. Example: See 其他	归根到底		after all; in the final analysis; ultimately	l
HSK_Level_8	FIB_复句 - 解说复句	Complete the pattern for '复句 - 解说复句': 句子的类型. Example: See 解说复句	……，也就是说……			
HSK_Level_9	CLOZE_金属	Fill in the blank: 酸会和____物质起化学反应。	金属	属性|定金|所属|金属	metal	n
HSK_Level_9	CLOZE_魅力	Fill in the blank: 自大狂和自恋狂的分别，在于自大狂渴望能够手握大权、受人敬畏，而自恋狂却比较想拥有____、得到爱戴。许多疯子和历史上的伟人都属于前者。	魅力	效力|力度|魅力|武力	charm; fascination; glamor; charisma	n
HSK_Level_9	CLOZE_革命	Fill in the blank: 这场____已经带来了很多改变。	革命	出丑|拜会|革命|要命	to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning); revolution; revolutionary; to revolt (against sb or sth); to revolutionize (sth); (separable verb sometimes used in the pattern 革noun的命)	vn,v
HSK_Level_9	CLOZE_领域	Fill in the blank: 让我们记住这一点，如果说这场金融危机教会了我们什么东西的话，那就是我们不可能在金融以外的____处于困境的同时拥有繁荣兴旺的华尔街。	领域	领域|地域|流域|领土	domain; sphere; field; territory; area	n
HSK_Level_9	CLOZE_唯	Fill in the blank: 俗话说：三百六十行，行行出状元；可俗话又说：万般皆下品，____有读书高！	唯	独|略|则|唯	only; alone; -ism (in Chinese, a prefix, often combined with a suffix such as 主义 or 论, e.g. 唯理论, rationalism)	d
HSK_Level_9	CLOZE_生物	Fill in the blank: 据说火星上是没有____的。	生物	生平|生涯|生物|生机	organism; living creature; life form; biological	n
HSK_Level_9	CLOZE_婚姻	Fill in the blank: 现在女性考虑____的唯一条件,应该就是你爱不爱他,他爱不爱你,是不是真心真意对你,跟他在一起会不会有压力,会不会快乐,而非他拥有什么!	婚姻	婚纱|喜酒|婚姻|喜事	matrimony; wedding; marriage	n
HSK_Level_9	CLOZE_淘汰	Fill in the blank: 共产主义失败了，而无产阶级专政现在也经被____了。虽然资本主义逐渐取而代之，但现在的资本主义对于人类还是一个威胁。	淘汰	熄火|处方|淘汰|出局	to wash out; (fig.) to cull; to weed out; to eliminate; to die out; to phase out	v,vn
HSK_Level_9	CLOZE_官员	Fill in the blank: 虽然她知道那家公司不但对当地____行贿而且也给她的家人带了了极大的麻烦，可她还是应聘了那家公司的一份工作。	官员	跑车|官员|官吏|雇员	official (in an organization or government); administrator	n
HSK_Level_9	CLOZE_毫无	Fill in the blank: 没有爱情的生活____意义。	毫无	无意|无缘|拜会|毫无	not in the least; to completely lack	v
